"OBJECTID","Parent_ID","Zone_ID","Jurisdiction_ID","Name","Nom","GIS_Size_Ha","SIG_Superficie_Ha","SurveySize_Ha","ArpentageSuperficie_Ha","GazetteSize_Ha","GazetteSuperficie_Ha","GIS_ZoneSize_Ha","SIG_ZoneSuperficie_Ha","ProvinceTerritory","ProvinceTerritoire","LegalStatus","StatutLegal","Legislation_En","Legislation_Fr","ProtectionType","TypeProtection","IUCN_Category","Categorie_UICN","Biome_En","Biome_Fr","ProtectionDate","GazetteDate","ARMS_ID","DFRP_ID","PA_Comments","AP_Commentaires","Shape_STArea__","Shape_STLength__","Shape_STArea_1","Shape_STLength_1","Shape_STArea_12","Shape_STLength_12","Shape_Length","Shape_Area"
"1","730009100","730009100","9100","Port Hebert Migratory Bird Sanctuary (T)","Port Hébert, Refuge d’oiseaux migrateurs de (T)","0.34","0.34","","","","","","","Nova Scotia","Nouvelle-Écosse","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","la","la","Terrestrial","Terrestre","19410101000000","","","","N/A","N/A","3449.99612426","378.03042874","3.8e-007","0.00413654","3.82871121473727e-007","0.00413654567700199","0.00413654567700199","3.82871279495518e-007"
"2","730001300","730001300","1300","Big Glace Bay Lake Migratory Bird Sanctuary (T)","Big Glace Bay, Refuge d’oiseaux migrateurs du (T)","137.1","137.1","","","","","","","Nova Scotia","Nouvelle-Écosse","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","N/A","N/A","Terrestrial","Terrestre","19390101000000","","","","N/A","N/A","1370182.55343056","13687.14786104","0.00015971","0.15660635","0.000159718680379228","0.156606358686532","0.156606358686532","0.000159718680249723"
"3","730004200","730004210","4200","Grand Manan Migratory Bird Sanctuary (M)","Grand Manan, Refuge d’oiseaux migrateurs de (M)","89.07","89.07","","","","","","","New Brunswick","Nouveau-Brunswick","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","N/A","N/A","Marine","Marin","19310101000000","","","","N/A","N/A","895396.46221923","5077.96860575","0.00010107","0.06090543","0.000101079098385526","0.0609054325822961","0.0609054325822961","0.000101079097756212"
"4","730004900","730004910","4900","Île aux Canes Migratory Bird Sanctuary (M)","île aux Canes, Refuge d’oiseaux migrateurs de l' (M)","147.75","147.75","","","","","","","Newfoundland and Labrador","Terre-Neuve-et-Labrador","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","la","la","Marine","Marin","19910101000000","","","","N/A","N/A","1462272.68795776","9836.48052021","0.00018795","0.11505478","0.000187957213711343","0.115054781008512","0.115054781008512","0.000187957212487176"
"5","730006900","730006910","6900","Machias Seal Island Migratory Bird Sanctuary (M)","île Machias Seal, Refuge d’oiseaux migrateurs de l' (M)","1035.44","1035.44","","","","","","","New Brunswick","Nouveau-Brunswick","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","lll","lll","Marine","Marin","19440101000000","","","","N/A","N/A","10415314.77211","13583.23790922","0.00117169","0.14543753","0.00117169656641636","0.145437531052514","0.145437531052514","0.00117169656977059"
"6","730009200","730009200","9200","Port Joli Migratory Bird Sanctuary (T)","Port-Joli, Refuge d’oiseaux migrateurs de (T)","74.72","74.72","","","","","","","Nova Scotia","Nouvelle-Écosse","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","la","la","Terrestrial","Terrestre","19410101000000","","","","N/A","N/A","753739.86302948","17151.07837879","8.366e-005","0.18383692","8.36649262510036e-005","0.183836927991306","0.183836927991306","8.36649168170899e-005"
"7","730010700","730010700","10700","Sable River Migratory Bird Sanctuary (T)","rivière du Sable, Refuge d’oiseaux migrateurs de la (T)","46.44","46.44","","","","","","","Nova Scotia","Nouvelle-Écosse","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","la","la","Terrestrial","Terrestre","19410101000000","","","","N/A","N/A","468613.13882446","20987.20340902","5.194e-005","0.22035145","5.19492214152706e-005","0.220351459357425","0.220351459357425","5.19492249662406e-005"
"8","730011800","730011810","11800","Shepherd Island Migratory Bird Sanctuary (M)","Shepherd Island, Refuge d’oiseaux migrateurs de (M)","15.01","15.01","","","","","","","Newfoundland and Labrador","Terre-Neuve-et-Labrador","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","la","la","Marine","Marin","19910101000000","","","","N/A","N/A","148579.77920532","2548.92464511","1.911e-005","0.02932896","1.91157398603536e-005","0.0293289681524664","0.0293289681524664","1.91157398586021e-005"
"9","730004900","730004900","4900","Île aux Canes Migratory Bird Sanctuary (T)","île aux Canes, Refuge d’oiseaux migrateurs de l' (T)","14.34","14.34","","","","","","","Newfoundland and Labrador","Terre-Neuve-et-Labrador","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","la","la","Terrestrial","Terrestre","19910101000000","","","","N/A","N/A","141880.89285278","4466.12895341","1.823e-005","0.0540184","1.82365224645764e-005","0.0540184041629045","0.0540184041629045","1.82365238948159e-005"
"10","730001500","730001500","1500","Black Pond Migratory Bird Sanctuary","Black Pond, Refuge d’oiseaux migrateurs de","203.36","203.36","","","","","","","Prince Edward Island","Île-du-Prince-Édouard","Gazetted","Gazette","","","Migratory Bird Sanctuary","Refuges d'oiseaux migrateurs","N/A","N/A","Terrestrial","Terrestre","19360101000000","","","","N/A","N/A","2031025.21246338","5945.02705361","0.00023775","0.06833331","0.000237759105175428","0.0683333150448394","0.0683333150448394","0.000237759104799957"
